"","Sample.ID","Orig_geno_ID","X2020_Mote_ID","Genotype","Outlier","sampling_date","Species","Lat","Long","Region","collection_date","Baums_MSAT_clonal_ID","Proposed_pheno"
"FM.13","FM.13","FM-13","F-M-13",NA,NA,"12/13/19","cervicornis",24.69767,-80.9581,"Middle Keys","5/5/10","C1408",NA
"FM.14","FM.14","FM-14","F-M-14",NA,NA,"12/13/19","cervicornis",24.69756,-80.95852,"Middle Keys","5/5/10","C1407",NA
"FM.18","FM.18","FM-18","F-M-18",NA,NA,"12/13/19","cervicornis",24.77885,-80.7349,"Middle Keys","4/20/10","C1403",NA
"FM.19","FM.19","FM-19","F-M-19",NA,NA,"12/13/19","cervicornis",24.7763,-80.73651,"Middle Keys","4/20/10","C1404",NA
"FM.20","FM.20","FM-20","F-M-20",NA,NA,"12/13/19","cervicornis",24.77885,-80.7349,"Middle Keys","4/20/10","C1396",NA
"FM.21","FM.21","FM-21","F-M-21",NA,NA,"12/13/19","cervicornis",24.75825,-80.76598,"Middle Keys","1/19/11","no data",NA
"FM.4","FM.4","FM-4","F-M-4",NA,NA,"12/13/19","cervicornis",24.66427,-81.07655,"Middle Keys","4/28/10","C1397",NA
"FM.5","FM.5","FM-5","F-M-5",NA,NA,"12/13/19","cervicornis",24.70217,-80.93867,"Middle Keys","3/18/10","C1406",NA
"FM.6","FM.6","FM-6","F-M-6",NA,NA,"12/13/19","cervicornis",24.70217,-80.93867,"Middle Keys","3/18/10","C1406",NA
"FM.7","FM.7","FM-7","F-M-7",NA,NA,"12/13/19","cervicornis",24.69767,-80.9581,"Middle Keys","3/18/10","C1398",NA
"FM.9","FM.9","FM-9","F-M-9",NA,NA,"12/13/19","cervicornis",24.66427,-81.07655,"Middle Keys","4/28/10","C1397",NA
